Week,LizardID,Date,StartTime,StartTimeNumeric,TestedWith,CodedBy,Time,TestArena,TempStart_1,TempStart_2,AvgWind,MaxWind,AirTemp,GroudTemp,CloudCover,NumStrikes,AlertPosture,Wince,BackedOff,TopHead,NoRxn,TongueFlick,Gaping,Biting,Hissing,ShelterLatency,Flee_Y/N,FleeRating,FleeLatency,EndDistance,FurthestDistance,Defecation,BodyPosStart,NewAGGRating,PrevAGGRating,Notes
2,12138,10/5/2015,8:01,0,GPS and Radio,JK,2,2,27.2,27.2,0.4,0.7,27.5,23,2.9,7,0,0,0,4,1,1,1,0,0,300,0,0,81,100,100,0,Head,8,3,
4,12138,10/20/2015,7:48,0,GPS and Radio,Jk,3,2,24.3,31.7,0.8,1.1,26,21,9.7,8,0,0,1,4,2,9,1,0,1,44,1,0.75,29,110,110,0,Head,8,5,
2,12268,10/6/2015,7:57,0,GPS and Radio,JK,1,1,27.2,27.2,3.3,7.1,30,25,3,5,3,0,3,0,0,0,1,0,0,23,1,4,20,110,110,0,Head,7,5,
4,12268,10/21/2015,9:00,0,GPS and Radio,Jk,2,2,19,28,0.8,1.1,21.3,18,10,5,1,0,2,0,1,1,1,0,0,28,1,4,21,110,110,0,Head,7,9,
6,12268,11/4/2015,6:55,0,GPS and Radio,DS,3,1,20.2,27.3,0.7,0.9,19.8,16,9,4,2,0,2,2,0,6,1,0,0,46,1,2,27,110,110,0,Head,6,3,model lizard pushes lizard all the way back to the flee line
1,12434,9/30/2015,9:27,0,GPS and Radio,JK&DS,1,1,18.1,29.8,0.4,0.5,21.4,30,2,6,0,0,2,0,4,17,0,0,0,120,1,0.5,49,110,110,0,Head,4,5,
3,12434,10/15/2015,6:44,0,GPS and Radio,Jk,2,2,21.1,30.1,0.6,1,23.8,19,6,5,0,0,2,0,1,6,2,0,0,224,1,0.25,21,110,110,0,Head,8,5,
5,12434,10/29/2015,8:39,0,GPS and Radio,Jk,3,2,18.5,31.4,0.5,1.4,25.2,30,2,10,0,0,0,0,1,8,7,2,0,300,0,0,300,30,30,0,Head,10,5,
1,12723,9/29/2015,10:31,0,GPS and Radio,JK&DS,1,1,28.9,28.9,1.4,2,17.7,25,1.5,3,0,2,3,0,0,14,0,0,0,137,1,3.75,35,110,110,0,Head,3,5,
3,12723,10/14/2015,9:08,0,GPS and Radio,Jk,2,1,30.4,30.4,1.3,2.2,25,29,0,2,1,0,2,0,0,1,0,0,0,37,1,2,10,110,110,0,Head,2,5,
2,12772,10/5/2015,8:34,0,GPS and Radio,JK,1,1,31,31,0.5,0.9,29.5,35,2.5,3,2,0,3,0,0,5,0,0,0,23,1,4,21,110,110,0,Head,4,5,
3,12772,10/16/2015,7:30,0,GPS and Radio,Jk,2,1,24.1,25.2,0.4,0.6,26.3,22,9,3,2,0,3,0,0,0,0,0,0,13,1,3,9,110,110,0,Head,2,5,
